feature,mean_frequency,std_frequency,selected_in_n_folds
panelc_ca125,1.0,0.0,5
panelb_ca125,0.9960000000000001,0.008000000000000007,5
panelb_he4,0.99,0.012649110640673528,5
panela_ca_125,0.8960000000000001,0.04127953488110059,5
panela_igf_ii,0.8119999999999999,0.10107423014794621,5
panele_eotaxin,0.7799999999999999,0.07797435475847171,5
panele_mmp_3,0.7719999999999999,0.11651609330903609,4
panelc_spondin2,0.764,0.13484806264830057,5
panelc_mesothelin,0.72,0.11454256850621088,4
panelb_ca72_4,0.72,0.0787400787401181,5
panelc_mmp7,0.6940000000000001,0.17749366185867033,3
panelc_he4,0.6900000000000001,0.17810109488714548,4
panelc_slpi,0.6540000000000001,0.22703303724348137,3
panela_mif,0.6540000000000001,0.18095303258028034,2
panelb_klk6,0.636,0.14907716122867382,3
panelb_ov_110,0.588,0.1652150114245071,4
panelb_ca15_3,0.5599999999999999,0.15504837954651446,2
paneld_b2m,0.5599999999999999,0.18253766734567417,3
panele_he4,0.55,0.05440588203494178,1
panele_egfr,0.542,0.16533602148352308,3
paneld_ctap,0.4960000000000001,0.11412274094149684,1
panele_ca72_4,0.49000000000000005,0.09316651759081694,1
paneld_hepc,0.48600000000000004,0.15628179676469042,1
panelb_ca19_9,0.484,0.05678027826631358,0
panele_ca_125_fujio,0.48,0.0839047078536121,0
panela_prolactin,0.476,0.09583318840568752,1
paneld_itih4,0.476,0.16057397049335237,2
paneld_trf,0.47400000000000003,0.0884533775499839,1
paneld_apo,0.434,0.10836973747315252,1
panelc_igfbpii_nml_lp,0.40800000000000003,0.053814496188294834,0
paneld_tt,0.404,0.05462600113499065,0
panele_prolactin,0.388,0.1002796090937734,0
panela_leptin,0.366,0.07364781055808788,0
panela_opn,0.29400000000000004,0.04223742416388575,0
panelc_igfbpii_ng_ml,0.266,0.06499230723708768,0
panelc_igfbpii_nml_lp_log,0.0,0.0,0
panelc_mesothelin_log,0.0,0.0,0
panelc_he4_log,0.0,0.0,0
panelc_ca125_log,0.0,0.0,0
panelc_mmp7_sd_log,0.0,0.0,0
panelc_slpi_log,0.0,0.0,0
panelc_spondin2_log,0.0,0.0,0
