feature,selection_frequency,selected
panelb_ca125,1.0,True
panelc_ca125,1.0,True
panelb_he4,0.99,True
panela_ca_125,0.95,True
panela_igf_ii,0.86,True
panele_eotaxin,0.83,True
panele_mmp_3,0.83,True
panelc_spondin2,0.82,True
panelc_mmp7,0.8,True
panelc_mesothelin,0.8,True
panelc_slpi,0.77,True
panelb_ca72_4,0.71,True
panela_mif,0.7,True
panelb_klk6,0.68,True
panelc_he4,0.62,True
panele_ca72_4,0.62,True
paneld_b2m,0.58,False
paneld_trf,0.57,False
panelb_ov_110,0.55,False
panelb_ca15_3,0.54,False
panele_he4,0.5,False
panele_egfr,0.49,False
paneld_ctap,0.47,False
panelb_ca19_9,0.46,False
panele_ca_125_fujio,0.44,False
paneld_hepc,0.44,False
paneld_apo,0.43,False
paneld_itih4,0.41,False
panela_prolactin,0.39,False
paneld_tt,0.39,False
panele_prolactin,0.34,False
panelc_igfbpii_nml_lp,0.31,False
panela_leptin,0.3,False
panelc_igfbpii_ng_ml,0.23,False
panela_opn,0.18,False
panelc_igfbpii_nml_lp_log,0.0,False
panelc_mesothelin_log,0.0,False
panelc_he4_log,0.0,False
panelc_ca125_log,0.0,False
panelc_mmp7_sd_log,0.0,False
panelc_slpi_log,0.0,False
panelc_spondin2_log,0.0,False
