feature,mean_frequency,std_frequency,selected_in_n_folds
wtd_mean_atomic_mass,1.0,0.0,5
wtd_std_atomic_mass,1.0,0.0,5
wtd_range_atomic_mass,1.0,0.0,5
std_atomic_mass,1.0,0.0,5
wtd_range_Valence,1.0,0.0,5
wtd_std_ThermalConductivity,1.0,0.0,5
wtd_mean_Valence,1.0,0.0,5
range_ThermalConductivity,1.0,0.0,5
wtd_entropy_ThermalConductivity,1.0,0.0,5
wtd_std_Valence,1.0,0.0,5
wtd_gmean_Valence,1.0,0.0,5
wtd_mean_ThermalConductivity,1.0,0.0,5
wtd_gmean_ElectronAffinity,1.0,0.0,5
wtd_entropy_Density,1.0,0.0,5
entropy_Density,1.0,0.0,5
gmean_ElectronAffinity,1.0,0.0,5
mean_Density,1.0,0.0,5
wtd_gmean_ThermalConductivity,1.0,0.0,5
wtd_std_ElectronAffinity,1.0,0.0,5
std_atomic_radius,0.998,0.0040000000000000036,5
wtd_range_fie,0.998,0.0040000000000000036,5
wtd_range_ElectronAffinity,0.998,0.0040000000000000036,5
range_atomic_radius,0.9940000000000001,0.008000000000000007,5
wtd_entropy_ElectronAffinity,0.994,0.008000000000000007,5
wtd_std_atomic_radius,0.99,0.008944271909999166,5
std_Density,0.986,0.01959591794226544,5
gmean_Density,0.984,0.018547236990991426,5
wtd_entropy_atomic_mass,0.9719999999999999,0.03762977544445355,5
wtd_std_Density,0.9480000000000001,0.04489988864128729,5
wtd_range_atomic_radius,0.944,0.02939387691339811,5
wtd_entropy_FusionHeat,0.942,0.064,5
wtd_entropy_Valence,0.93,0.041472882706655424,5
entropy_ThermalConductivity,0.9299999999999999,0.06164414002968974,5
wtd_std_fie,0.8640000000000001,0.0634350061086148,5
entropy_FusionHeat,0.752,0.14019985734657509,3
wtd_entropy_fie,0.648,0.16129476122924763,3
wtd_mean_ElectronAffinity,0.6220000000000001,0.15341447128612085,2
wtd_gmean_atomic_mass,0.532,0.19528440797974633,2
range_ElectronAffinity,0.49400000000000005,0.14430523206037957,1
wtd_std_FusionHeat,0.47800000000000004,0.17758378304338493,2
range_fie,0.43600000000000005,0.1354400236266961,0
wtd_mean_Density,0.426,0.1811739495622922,0
wtd_gmean_Density,0.42200000000000004,0.12890306435457613,0
std_ElectronAffinity,0.33999999999999997,0.23731835158706124,1
wtd_entropy_atomic_radius,0.33599999999999997,0.09666436778875656,0
mean_ThermalConductivity,0.21600000000000003,0.1521315220458929,0
wtd_mean_fie,0.166,0.08014985963805553,0
wtd_range_ThermalConductivity,0.164,0.03261901286060018,0
wtd_gmean_fie,0.122,0.07782030583337488,0
gmean_ThermalConductivity,0.12,0.11949895397031723,0
std_FusionHeat,0.072,0.0574108003776293,0
wtd_mean_atomic_radius,0.044000000000000004,0.02154065922853802,0
gmean_atomic_mass,0.03400000000000001,0.03720215047547655,0
wtd_gmean_FusionHeat,0.022,0.0132664991614216,0
mean_FusionHeat,0.014000000000000002,0.017435595774162694,0
wtd_range_Density,0.012,0.0116619037896906,0
entropy_atomic_radius,0.01,0.006324555320336759,0
std_fie,0.008,0.0116619037896906,0
gmean_Valence,0.006,0.008,0
gmean_fie,0.006,0.008,0
mean_atomic_radius,0.004,0.008,0
wtd_gmean_atomic_radius,0.004,0.004898979485566356,0
entropy_atomic_mass,0.004,0.008,0
mean_ElectronAffinity,0.004,0.004898979485566356,0
entropy_fie,0.002,0.004,0
std_ThermalConductivity,0.002,0.004,0
wtd_mean_FusionHeat,0.002,0.004,0
entropy_ElectronAffinity,0.002,0.004,0
range_atomic_mass,0.002,0.004,0
mean_fie,0.0,0.0,0
mean_atomic_mass,0.0,0.0,0
number_of_elements,0.0,0.0,0
gmean_atomic_radius,0.0,0.0,0
range_Density,0.0,0.0,0
wtd_range_FusionHeat,0.0,0.0,0
gmean_FusionHeat,0.0,0.0,0
range_FusionHeat,0.0,0.0,0
mean_Valence,0.0,0.0,0
entropy_Valence,0.0,0.0,0
range_Valence,0.0,0.0,0
std_Valence,0.0,0.0,0
