rank,feature
1,wtd_mean_atomic_mass
2,wtd_entropy_atomic_mass
3,wtd_range_atomic_mass
4,std_atomic_mass
5,wtd_std_atomic_mass
6,wtd_entropy_fie
7,wtd_range_fie
8,wtd_std_fie
9,range_atomic_radius
10,wtd_range_atomic_radius
11,std_atomic_radius
12,wtd_std_atomic_radius
13,mean_Density
14,gmean_Density
15,entropy_Density
16,wtd_entropy_Density
17,std_Density
18,wtd_std_Density
19,gmean_ElectronAffinity
20,wtd_gmean_ElectronAffinity
21,wtd_entropy_ElectronAffinity
22,wtd_range_ElectronAffinity
23,wtd_std_ElectronAffinity
24,entropy_FusionHeat
25,wtd_entropy_FusionHeat
26,wtd_mean_ThermalConductivity
27,wtd_gmean_ThermalConductivity
28,entropy_ThermalConductivity
29,wtd_entropy_ThermalConductivity
30,range_ThermalConductivity
31,wtd_std_ThermalConductivity
32,wtd_mean_Valence
33,wtd_gmean_Valence
34,wtd_entropy_Valence
35,wtd_range_Valence
36,wtd_std_Valence
