feature,selection_frequency,selected
wtd_mean_atomic_mass,1.0,True
wtd_std_atomic_mass,1.0,True
wtd_range_atomic_mass,1.0,True
std_atomic_mass,1.0,True
std_Density,1.0,True
wtd_entropy_ElectronAffinity,1.0,True
wtd_range_ElectronAffinity,1.0,True
gmean_ElectronAffinity,1.0,True
wtd_gmean_ElectronAffinity,1.0,True
gmean_Density,1.0,True
entropy_Density,1.0,True
wtd_entropy_Density,1.0,True
std_atomic_radius,1.0,True
range_atomic_radius,1.0,True
mean_Density,1.0,True
wtd_std_atomic_radius,1.0,True
wtd_range_fie,1.0,True
wtd_entropy_ThermalConductivity,1.0,True
range_ThermalConductivity,1.0,True
wtd_mean_Valence,1.0,True
wtd_std_ThermalConductivity,1.0,True
wtd_range_Valence,1.0,True
wtd_std_Valence,1.0,True
wtd_gmean_Valence,1.0,True
wtd_std_ElectronAffinity,1.0,True
wtd_gmean_ThermalConductivity,1.0,True
wtd_mean_ThermalConductivity,1.0,True
wtd_entropy_FusionHeat,0.99,True
wtd_entropy_Valence,0.99,True
entropy_ThermalConductivity,0.98,True
wtd_range_atomic_radius,0.97,True
wtd_entropy_atomic_mass,0.95,True
wtd_std_Density,0.95,True
wtd_std_fie,0.91,True
entropy_FusionHeat,0.78,True
wtd_entropy_fie,0.65,True
wtd_gmean_atomic_mass,0.6,False
wtd_mean_ElectronAffinity,0.59,False
range_ElectronAffinity,0.58,False
wtd_mean_Density,0.56,False
range_fie,0.5,False
wtd_gmean_Density,0.34,False
wtd_entropy_atomic_radius,0.31,False
wtd_std_FusionHeat,0.26,False
mean_ThermalConductivity,0.21,False
std_ElectronAffinity,0.18,False
wtd_mean_fie,0.14,False
wtd_range_ThermalConductivity,0.12,False
gmean_ThermalConductivity,0.1,False
wtd_mean_atomic_radius,0.1,False
wtd_gmean_fie,0.08,False
std_FusionHeat,0.06,False
wtd_gmean_FusionHeat,0.03,False
std_ThermalConductivity,0.02,False
entropy_atomic_mass,0.01,False
range_atomic_mass,0.01,False
gmean_atomic_mass,0.01,False
mean_FusionHeat,0.01,False
wtd_range_Density,0.01,False
entropy_fie,0.0,False
mean_atomic_mass,0.0,False
number_of_elements,0.0,False
gmean_fie,0.0,False
mean_fie,0.0,False
entropy_atomic_radius,0.0,False
entropy_ElectronAffinity,0.0,False
mean_ElectronAffinity,0.0,False
range_Density,0.0,False
std_fie,0.0,False
wtd_gmean_atomic_radius,0.0,False
gmean_atomic_radius,0.0,False
mean_atomic_radius,0.0,False
gmean_FusionHeat,0.0,False
wtd_range_FusionHeat,0.0,False
range_FusionHeat,0.0,False
wtd_mean_FusionHeat,0.0,False
mean_Valence,0.0,False
entropy_Valence,0.0,False
gmean_Valence,0.0,False
range_Valence,0.0,False
std_Valence,0.0,False
